Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Lil Jessie,2023-06-21 21:43:07,Multichannel Prepromote,EMAIL,US,en-US,en,The Perfect Find,GMAIL.COM,,,--,0
Lil Jessie,2023-06-21 20:21:16,Multichannel Prepromote,PUSH,US,en-US,en,The Perfect Find,GMAIL.COM,,,APPLE_iPhone14-6,0
Lil Jessie,2023-06-21 20:05:19,Multichannel Prepromote,NOTIFICATIONS,US,,,The Perfect Find,GMAIL.COM,,,--,0
Lil Jessie,2023-06-17 09:10:00,EMAIL_NEW_SEASON_ALERT,EMAIL,US,en,en,Black Mirror,GMAIL.COM,,,--,0
Lil Jessie,2023-06-17 09:09:59,Inapp New Season Alert,NOTIFICATIONS,US,en-US,,Black Mirror,GMAIL.COM,,,--,0
Lil Jessie,2023-06-15 00:40:29,Multichannel Prepromote,EMAIL,US,en-US,en,Extraction 2,GMAIL.COM,,,--,0
Lil Jessie,2023-06-14 23:52:31,Multichannel Prepromote,PUSH,US,en-US,en,Extraction 2,GMAIL.COM,,,APPLE_iPhone14-6,0
Lil Jessie,2023-06-14 23:52:28,Multichannel Prepromote,NOTIFICATIONS,US,,,Extraction 2,GMAIL.COM,,,--,0
Lil Jessie,2023-06-14 00:14:58,Multichannel Prepromote,PUSH,US,en-US,en,Black Mirror,GMAIL.COM,,2023-06-14 00:39:06,APPLE_iPhone14-6,1
Lil Jessie,2023-06-14 00:14:53,Multichannel Prepromote,NOTIFICATIONS,US,,,Black Mirror,GMAIL.COM,,,--,0
Lil Jessie,2023-06-13 23:43:21,Multichannel Prepromote,EMAIL,US,en-US,en,Black Mirror,GMAIL.COM,,,--,0
Lil Jessie,2023-06-13 00:35:34,Multichannel Continue Watching,PUSH,US,en-US,en,All American,GMAIL.COM,,,APPLE_iPhone14-6,0
Lil Jessie,2023-06-13 00:35:28,Multichannel Continue Watching,NOTIFICATIONS,US,,,All American,GMAIL.COM,,,--,0
Lil Jessie,2023-06-12 19:38:48,Multichannel Continue Watching,EMAIL,US,en-US,en,All American,GMAIL.COM,,,--,0
Lil Jessie,2023-06-07 22:35:33,Inapp New Arrivals,NOTIFICATIONS,US,en-US,,Arnold,GMAIL.COM,,,--,0
Lil Jessie,2023-06-07 22:35:33,EMAIL_NEW_ARRIVALS,EMAIL,US,en,en,Arnold,GMAIL.COM,,,--,0
Lil Jessie,2023-06-07 22:35:33,PUSH_NEW_ARRIVALS,PUSH,US,en,en,Arnold,GMAIL.COM,,,APPLE_iPhone14-6,0
Lil Jessie,2023-05-31 03:15:50,Tv Hd Upsell Interstitial,ALERTS,US,,,,GMAIL.COM,,,--,0
Lil Jessie,2023-05-31 00:05:51,Activation Successful Beneficiary,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
Lil Jessie,2023-05-29 00:26:22,Beneficiary Activation Series,EMAIL,US,en-US,en,,GMAIL.COM,https://www.netflix.com/extra/activate?g=61ed8137-8fde-43d6-a055-567f92ffc804&lkid=URL_CTA&lnktrk=EVO&bid=3d22d1a7-9c02-42bb-9258-74e5cae9cce8,2023-05-31 00:04:55,--,1
Lil Jessie,2023-05-28 00:26:19,Beneficiary Activation Series,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
